path,filename,true_label,true_label_name,yolo_detected,yolo_conf,model_a_score,model_a_clip_danger_score,model_a_best_caption_number,model_a_best_caption,model_a_best_category,model_a_best_caption_score,model_b_score,model_b_best_caption_number,model_b_best_caption,model_b_best_category,model_b_best_caption_score,model_c_score,model_c_best_category
/content/drive/MyDrive/yolo-clip images/A1/0121_FL_FWW_00126.jpg,0121_FL_FWW_00126.jpg,1,dangerous fire,TRUE,0.5899242163,0.5881959227,0.9970703125,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9736328125,0.9970703125,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9736328125,0.5899242163,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0125_FL_FWW_00001.jpg,0125_FL_FWW_00001.jpg,1,dangerous fire,TRUE,0.3990428746,0.397094423,0.9951171875,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9692382813,0.9951171875,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9692382813,0.3990428746,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0125_FL_FWW_00288.jpg,0125_FL_FWW_00288.jpg,1,dangerous fire,TRUE,0.5664588809,0.5642461509,0.99609375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9931640625,0.99609375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9931640625,0.5664588809,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0127_FL_FWW_00358.jpg,0127_FL_FWW_00358.jpg,1,dangerous fire,TRUE,0.5562804341,0.5522061145,0.9926757813,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9819335938,0.9926757813,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9819335938,0.5562804341,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0129_FL_FWW_00231.jpg,0129_FL_FWW_00231.jpg,1,dangerous fire,TRUE,0.7958900332,0.793169706,0.9965820313,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9658203125,0.9965820313,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9658203125,0.7958900332,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0132_FL_FWW_00089.jpg,0132_FL_FWW_00089.jpg,1,dangerous fire,TRUE,0.4475249052,0.2344698356,0.5239257813,2,Building engulfed in large flames and thick smoke,dangerous fire,0.4270019531,0.5239257813,2,Building engulfed in large flames and thick smoke,dangerous fire,0.4270019531,0.4475249052,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0150_FL_FWW_00256.jpg,0150_FL_FWW_00256.jpg,1,dangerous fire,FALSE,0,0,0,,,no-yolo-fire-detected,0,0.1734619141,5,Fireworks explosion in the night sky,safe-fire,0.7836914063,0,no-yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0154_FL_FWW_00121.jpg,0154_FL_FWW_00121.jpg,1,dangerous fire,TRUE,0.7547333241,0.2850518682,0.3776855469,5,Fireworks explosion in the night sky,safe-fire,0.5336914063,0.3776855469,5,Fireworks explosion in the night sky,safe-fire,0.5336914063,0.7547333241,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0170_FL_FWW_00019.jpg,0170_FL_FWW_00019.jpg,1,dangerous fire,TRUE,0.7207077146,0.1623175944,0.2252197266,4,Gas stove with blue flame cooking,safe-fire,0.3908691406,0.2252197266,4,Gas stove with blue flame cooking,safe-fire,0.3908691406,0.7207077146,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0170_FL_FWW_00059.jpg,0170_FL_FWW_00059.jpg,1,dangerous fire,TRUE,0.5529414415,0.1780590238,0.3220214844,4,Gas stove with blue flame cooking,safe-fire,0.3908691406,0.3220214844,4,Gas stove with blue flame cooking,safe-fire,0.3908691406,0.5529414415,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0170_FL_FWW_00348.jpg,0170_FL_FWW_00348.jpg,1,dangerous fire,TRUE,0.6085370183,0.2143845013,0.3522949219,1,Flaming structure in a fenced area with debris,dangerous fire,0.3444824219,0.3522949219,1,Flaming structure in a fenced area with debris,dangerous fire,0.3444824219,0.6085370183,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0172_FL_FWW_00127.jpg,0172_FL_FWW_00127.jpg,1,dangerous fire,TRUE,0.2833897769,0.2745338464,0.96875,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9072265625,0.96875,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9072265625,0.2833897769,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0172_FL_FWW_00286.jpg,0172_FL_FWW_00286.jpg,1,dangerous fire,TRUE,0.4193097949,0.2225535874,0.5307617188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.5083007813,0.5307617188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.5083007813,0.4193097949,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0173_FL_FWW_00059.jpg,0173_FL_FWW_00059.jpg,1,dangerous fire,TRUE,0.6520739794,0.6514371884,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.6469726563,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.6469726563,0.6520739794,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0173_FL_FWW_00312.jpg,0173_FL_FWW_00312.jpg,1,dangerous fire,TRUE,0.6476497054,0.6473334702,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.8076171875,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.8076171875,0.6476497054,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0174_FL_ENB_00002.jpg,0174_FL_ENB_00002.jpg,1,dangerous fire,TRUE,0.6485128403,0.5905646714,0.9106445313,2,Building engulfed in large flames and thick smoke,dangerous fire,0.6684570313,0.9106445313,2,Building engulfed in large flames and thick smoke,dangerous fire,0.6684570313,0.6485128403,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0199_FL_FWW_00334.jpg,0199_FL_FWW_00334.jpg,1,dangerous fire,TRUE,0.4820689857,0.001211866232,0.002513885498,5,Fireworks explosion in the night sky,safe-fire,0.98046875,0.002513885498,5,Fireworks explosion in the night sky,safe-fire,0.98046875,0.4820689857,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0201_FL_FWW_00041.jpg,0201_FL_FWW_00041.jpg,1,dangerous fire,TRUE,0.4774631262,0.4741992181,0.9931640625,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8842773438,0.9931640625,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8842773438,0.4774631262,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0202_FL_FWW_00337.jpg,0202_FL_FWW_00337.jpg,1,dangerous fire,TRUE,0.6552138329,0.6267401848,0.9565429688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.693359375,0.9565429688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.693359375,0.6552138329,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0221_FL_GAH_00001.jpg,0221_FL_GAH_00001.jpg,1,dangerous fire,TRUE,0.8811579943,0.8777159709,0.99609375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9267578125,0.99609375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9267578125,0.8811579943,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0221_FL_GAH_00326.jpg,0221_FL_GAH_00326.jpg,1,dangerous fire,TRUE,0.6835092306,0.6795042937,0.994140625,2,Building engulfed in large flames and thick smoke,dangerous fire,0.5166015625,0.994140625,2,Building engulfed in large flames and thick smoke,dangerous fire,0.5166015625,0.6835092306,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0227_FL_FWW_00281.jpg,0227_FL_FWW_00281.jpg,1,dangerous fire,TRUE,0.5261193514,0.5145591117,0.9780273438,1,Flaming structure in a fenced area with debris,dangerous fire,0.9770507813,0.9780273438,1,Flaming structure in a fenced area with debris,dangerous fire,0.9770507813,0.5261193514,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0229_FL_FWW_00039.jpg,0229_FL_FWW_00039.jpg,1,dangerous fire,TRUE,0.7880557775,0.778435956,0.9877929688,1,Flaming structure in a fenced area with debris,dangerous fire,0.9248046875,0.9877929688,1,Flaming structure in a fenced area with debris,dangerous fire,0.9248046875,0.7880557775,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0229_FL_FWW_00269.jpg,0229_FL_FWW_00269.jpg,1,dangerous fire,TRUE,0.8100933433,0.8089066831,0.9985351563,1,Flaming structure in a fenced area with debris,dangerous fire,0.9350585938,0.9985351563,1,Flaming structure in a fenced area with debris,dangerous fire,0.9350585938,0.8100933433,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0250_FL_MS_00017.jpg,0250_FL_MS_00017.jpg,1,dangerous fire,FALSE,0,0,0,,,no-yolo-fire-detected,0,0.001680374146,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.814453125,0,no-yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0250_FL_MS_00051.jpg,0250_FL_MS_00051.jpg,1,dangerous fire,FALSE,0,0,0,,,no-yolo-fire-detected,0,0.0008435249329,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.8701171875,0,no-yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0250_FL_MS_00084.jpg,0250_FL_MS_00084.jpg,1,dangerous fire,FALSE,0,0,0,,,no-yolo-fire-detected,0,0.00298500061,5,Fireworks explosion in the night sky,safe-fire,0.576171875,0,no-yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0250_FL_MS_00110.jpg,0250_FL_MS_00110.jpg,1,dangerous fire,TRUE,0.345118463,0.0006549699225,0.00189781189,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.6948242188,0.00189781189,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.6948242188,0.345118463,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0250_FL_MS_00121.jpg,0250_FL_MS_00121.jpg,1,dangerous fire,TRUE,0.2829542458,0.002001179397,0.00707244873,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.7739257813,0.00707244873,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.7739257813,0.2829542458,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0250_FL_MS_00162.jpg,0250_FL_MS_00162.jpg,1,dangerous fire,TRUE,0.3483437598,0.0004617670308,0.0013256073,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.8100585938,0.0013256073,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.8100585938,0.3483437598,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0250_FL_MS_00288.jpg,0250_FL_MS_00288.jpg,1,dangerous fire,TRUE,0.3260840476,0.007259469992,0.02226257324,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.5336914063,0.02226257324,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.5336914063,0.3260840476,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0279_FL_FWW_00119.jpg,0279_FL_FWW_00119.jpg,1,dangerous fire,TRUE,0.3051448464,0.2830933634,0.927734375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8676757813,0.927734375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8676757813,0.3051448464,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0279_FL_FWW_00225.jpg,0279_FL_FWW_00225.jpg,1,dangerous fire,TRUE,0.40689677,0.3782868409,0.9296875,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8686523438,0.9296875,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8686523438,0.40689677,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0279_FL_FWW_00359.jpg,0279_FL_FWW_00359.jpg,1,dangerous fire,TRUE,0.4080871642,0.117364912,0.2875976563,5,Fireworks explosion in the night sky,safe-fire,0.6596679688,0.2875976563,5,Fireworks explosion in the night sky,safe-fire,0.6596679688,0.4080871642,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0283_FL_FWW_00019.jpg,0283_FL_FWW_00019.jpg,1,dangerous fire,TRUE,0.7066835761,0.6814941713,0.9643554688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.7973632813,0.9643554688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.7973632813,0.7066835761,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0283_FL_FWW_00139.jpg,0283_FL_FWW_00139.jpg,1,dangerous fire,TRUE,0.6513515711,0.6510335283,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.9213867188,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.9213867188,0.6513515711,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0286_FL_FWW_00048.jpg,0286_FL_FWW_00048.jpg,1,dangerous fire,TRUE,0.3435805738,0.3435805738,1,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9018554688,1,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9018554688,0.3435805738,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0286_FL_FWW_00321.jpg,0286_FL_FWW_00321.jpg,1,dangerous fire,TRUE,0.5104191303,0.5101699022,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8803710938,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8803710938,0.5104191303,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0287_FL_FWW_00252.jpg,0287_FL_FWW_00252.jpg,1,dangerous fire,TRUE,0.2759072781,0.2746947949,0.9956054688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9741210938,0.9956054688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9741210938,0.2759072781,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0288_FL_FWW_00011.jpg,0288_FL_FWW_00011.jpg,1,dangerous fire,TRUE,0.5071024895,0.5068548808,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9858398438,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9858398438,0.5071024895,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0288_FL_FWW_00292.jpg,0288_FL_FWW_00292.jpg,1,dangerous fire,TRUE,0.5082232356,0.5062379886,0.99609375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9916992188,0.99609375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9916992188,0.5082232356,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0303_FL_FWW_00262.jpg,0303_FL_FWW_00262.jpg,1,dangerous fire,TRUE,0.6431886554,0.6428745984,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.85546875,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.85546875,0.6431886554,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0305_FL_FWW_00322.jpg,0305_FL_FWW_00322.jpg,1,dangerous fire,TRUE,0.5878092647,0.5863741834,0.9975585938,2,Building engulfed in large flames and thick smoke,dangerous fire,0.76171875,0.9975585938,2,Building engulfed in large flames and thick smoke,dangerous fire,0.76171875,0.5878092647,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0317_FL_GAH_00324.jpg,0317_FL_GAH_00324.jpg,1,dangerous fire,TRUE,0.6572618484,0.6572618484,1,1,Flaming structure in a fenced area with debris,dangerous fire,0.9965820313,1,1,Flaming structure in a fenced area with debris,dangerous fire,0.9965820313,0.6572618484,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0328_FL_FWW_00025.jpg,0328_FL_FWW_00025.jpg,1,dangerous fire,TRUE,0.6772293448,0.6768986665,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9267578125,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9267578125,0.6772293448,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0328_FL_FWW_00293.jpg,0328_FL_FWW_00293.jpg,1,dangerous fire,TRUE,0.5480906963,0.5475554515,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9116210938,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9116210938,0.5480906963,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0329_FL_FWW_00029.jpg,0329_FL_FWW_00029.jpg,1,dangerous fire,TRUE,0.5487885475,0.5482526212,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9619140625,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9619140625,0.5487885475,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0329_FL_FWW_00313.jpg,0329_FL_FWW_00313.jpg,1,dangerous fire,TRUE,0.4277950823,0.4273773137,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.6328125,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.6328125,0.4277950823,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0331_FL_FWW_00018.jpg,0331_FL_FWW_00018.jpg,1,dangerous fire,TRUE,0.4490273595,0.3501448697,0.7797851563,1,Flaming structure in a fenced area with debris,dangerous fire,0.6674804688,0.7797851563,1,Flaming structure in a fenced area with debris,dangerous fire,0.6674804688,0.4490273595,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0338_FL_FWW_00328.jpg,0338_FL_FWW_00328.jpg,1,dangerous fire,TRUE,0.6498401761,0.6482536522,0.9975585938,2,Building engulfed in large flames and thick smoke,dangerous fire,0.990234375,0.9975585938,2,Building engulfed in large flames and thick smoke,dangerous fire,0.990234375,0.6498401761,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0340_FL_FWW_00262.jpg,0340_FL_FWW_00262.jpg,1,dangerous fire,TRUE,0.6088066101,0.5862141773,0.962890625,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8642578125,0.962890625,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8642578125,0.6088066101,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0341_FL_FWW_00017.jpg,0341_FL_FWW_00017.jpg,1,dangerous fire,TRUE,0.6135061383,0.6060170497,0.9877929688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9360351563,0.9877929688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9360351563,0.6135061383,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0342_FL_FWW_00237.jpg,0342_FL_FWW_00237.jpg,1,dangerous fire,TRUE,0.3176679015,0.3175127902,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9892578125,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9892578125,0.3176679015,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0356_FL_GAH_00002.jpg,0356_FL_GAH_00002.jpg,1,dangerous fire,TRUE,0.322671175,0.3225136207,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9926757813,0.9995117188,2,Building engulfed in large flames and thick smoke,dangerous fire,0.9926757813,0.322671175,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0427_FL_GAH_00002.jpg,0427_FL_GAH_00002.jpg,1,dangerous fire,TRUE,0.4393218458,0.4378202574,0.9965820313,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8471679688,0.9965820313,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8471679688,0.4393218458,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0427_FL_GAH_00314.jpg,0427_FL_GAH_00314.jpg,1,dangerous fire,TRUE,0.3570378721,0.3559918627,0.9970703125,2,Building engulfed in large flames and thick smoke,dangerous fire,0.5869140625,0.9970703125,2,Building engulfed in large flames and thick smoke,dangerous fire,0.5869140625,0.3570378721,yolo-fire-detected
